binomial,family,family_correct,binomial_correct
Calotes nigriplicatus,Agamidae,Agamidae,Calotes nigriplicatus
Oriocalotes paulus,Agamidae,Agamidae,Calotes paulus 
Calotes versicolor,Agamidae,Agamidae,Calotes versicolor
Calotes zolaiking,Agamidae,Agamidae,Calotes zolaiking
Ceratophora aspera,Agamidae,Agamidae,Ceratophora aspera
Ceratophora erdeleni,Agamidae,Agamidae,Ceratophora erdeleni
Ceratophora karu,Agamidae,Agamidae,Ceratophora karu
Ceratophora stoddartii,Agamidae,Agamidae,Ceratophora stoddartii
Ceratophora tennentii,Agamidae,Agamidae,Ceratophora tennentii
Chelosania brunnea,Agamidae,Agamidae,Chelosania brunnea
Chlamydosaurus kingii,Agamidae,Agamidae,Chlamydosaurus kingii
Cophotis ceylanica,Agamidae,Agamidae,Cophotis ceylanica
Coryphophylax subcristatus,Agamidae,Agamidae,Coryphophylax subcristatus
Japalura planidorsata,Agamidae,Agamidae,Cristidorsa planidorsata
Cryptagama aurita,Agamidae,Agamidae,Cryptagama aurita
Ctenophorus adelaidensis,Agamidae,Agamidae,Ctenophorus adelaidensis
Ctenophorus butleri,Agamidae,Agamidae,Ctenophorus butlerorum
Ctenophorus caudicinctus,Agamidae,Agamidae,Ctenophorus caudicinctus
Ctenophorus chapmani,Agamidae,Agamidae,Ctenophorus chapmani
Ctenophorus clayi,Agamidae,Agamidae,Ctenophorus clayi
Ctenophorus cristatus,Agamidae,Agamidae,Ctenophorus cristatus
Ctenophorus decresii,Agamidae,Agamidae,Ctenophorus decresii
Ctenophorus femoralis,Agamidae,Agamidae,Ctenophorus femoralis
Ctenophorus fionni,Agamidae,Agamidae,Ctenophorus fionni
Ctenophorus fordi,Agamidae,Agamidae,Ctenophorus fordi
Ctenophorus gibba,Agamidae,Agamidae,Ctenophorus gibba
Amphibolurus isolepis,Agamidae,Agamidae,Ctenophorus isolepis
Ctenophorus isolepis,Agamidae,Agamidae,Ctenophorus isolepis
Ctenophorus maculatus,Agamidae,Agamidae,Ctenophorus maculatus
Ctenophorus maculosus,Agamidae,Agamidae,Ctenophorus maculosus
Ctenophorus mckenziei,Agamidae,Agamidae,Ctenophorus mckenziei
Ctenophorus mirrityana,Agamidae,Agamidae,Ctenophorus mirrityana
Ctenophorus nguyarna,Agamidae,Agamidae,Ctenophorus nguyarna
Ctenophorus nuchalis,Agamidae,Agamidae,Ctenophorus nuchalis
Ctenophorus ornatus,Agamidae,Agamidae,Ctenophorus ornatus
Ctenophorus parviceps,Agamidae,Agamidae,Ctenophorus parviceps
Ctenophorus pictus,Agamidae,Agamidae,Ctenophorus pictus
Ctenophorus reticulatus,Agamidae,Agamidae,Ctenophorus reticulatus
Ctenophorus rubens,Agamidae,Agamidae,Ctenophorus rubens
Ctenophorus rufescens,Agamidae,Agamidae,Ctenophorus rufescens
Ctenophorus salinarum,Agamidae,Agamidae,Ctenophorus salinarum
Ctenophorus scutulatus,Agamidae,Agamidae,Ctenophorus scutulatus
Ctenophorus tjantjalka,Agamidae,Agamidae,Ctenophorus tjantjalka
Ctenophorus vadnappa,Agamidae,Agamidae,Ctenophorus vadnappa
Ctenophorus yinnietharra,Agamidae,Agamidae,Ctenophorus yinnietharra
Dendragama boulengeri,Agamidae,Agamidae,Dendragama boulengeri
Japalura brevicauda,Agamidae,Agamidae,Diploderma brevicauda
Japalura brevipes,Agamidae,Agamidae,Diploderma brevipes
Japalura chapaensis,Agamidae,Agamidae,Diploderma chapaense
Japalura drukdaypo,Agamidae,Agamidae,Diploderma drukdaypo
Japalura dymondi,Agamidae,Agamidae,Diploderma dymondi
Japalura fasciata,Agamidae,Agamidae,Diploderma fasciatum
Japalura flaviceps,Agamidae,Agamidae,Diploderma flaviceps
Japalura grahami,Agamidae,Agamidae,Diploderma grahami
Japalura hamptoni,Agamidae,Agamidae,Diploderma hamptoni
Japalura splendida,Agamidae,Agamidae,Diploderma iadinum
Japalura luei,Agamidae,Agamidae,Diploderma luei
Japalura makii,Agamidae,Agamidae,Diploderma makii
Japalura polygonata,Agamidae,Agamidae,Diploderma polygonatum
Japalura swinhonis,Agamidae,Agamidae,Diploderma swinhonis
Japalura varcoae,Agamidae,Agamidae,Diploderma varcoae
Japalura yunnanensis,Agamidae,Agamidae,Diploderma yunnanense
